Dataset,Model,HR@10,NDCG@10,MAP@10
MovieLens 1M,Popularity,0.2570±0.0000,0.0522±0.0000,0.0238±0.0000
MovieLens 1M,SVD,0.1937±0.0033,0.0360±0.0002,0.0157±0.0003
MovieLens 1M,NeuMF,0.1842±0.0082,0.0315±0.0017,0.0129±0.0008
MovieLens 1M,TwoTower,0.0806±0.0062,0.0116±0.0012,0.0043±0.0006
Last.fm,Popularity,0.1365±0.0000,0.0293±0.0000,0.0148±0.0000
Last.fm,ALS,0.2766±0.0031,0.0684±0.0024,0.0362±0.0017
Last.fm,NeuMF,0.2117±0.0061,0.0479±0.0010,0.0245±0.0007
Last.fm,TwoTower,0.1362±0.0036,0.0289±0.0014,0.0144±0.0007
Last.fm,SASRec,0.0518±0.0049,0.0078±0.0006,0.0030±0.0001
