Dataset,Model,HR@10,NDCG@10,MAP@10
MovieLens 1M,Popularity,0.2570±0.0000,0.0522±0.0000,0.0238±0.0000
MovieLens 1M,SVD,0.1937±0.0033,0.0360±0.0002,0.0157±0.0003
MovieLens 1M,NeuMF,0.1842±0.0082,0.0315±0.0017,0.0129±0.0008
MovieLens 1M,TwoTower,0.0806±0.0062,0.0116±0.0012,0.0043±0.0006
